ID,Diagnostic Code,Diagnosis Description
9064,7359,Acq Deformity Of Toe Nos
9065,736,Oth Acq Limb Deformities
9066,7360,Acq Forearm Deformity
9067,73600,Forearm Deformity Nos
9068,73601,Cubitus Valgus
9069,73602,Cubitus Varus
9070,73603,Valgus Deformity Wrist
9071,73604,Varus Deformity Wrist
9072,73605,Wrist Drop
9073,73606,Claw Hand
9074,73607,"Club Hand, Acquired"
9075,73609,Forearm Deformity Nec
9076,7361,Mallet Finger
9077,7362,Oth Acq Finger Deformity
9078,73620,Acq Finger Deformity Nos
9079,73621,Boutonniere Deformity
9080,73622,Swan-Neck Deformity
9081,73629,Acq Finger Deformity Nec
9082,7363,Acquired Hip Deformity
9083,73630,Acq Hip Deformity Nos
9084,73631,Coxa Valga
9085,73632,Coxa Vara
9086,73639,Acq Hip Deformity Nec
9087,7364,Genu Valgum Or Varum
9088,73641,Genu Valgum
9089,73642,Genu Varum
9090,7365,Genu Recurvatum
9091,7366,Acq Knee Deformity Nec
9092,7367,Oth Acq Ankle-Foot Def
9093,73670,Acq Ankle-Foot Def Nos
9094,73671,Acq Equinovarus
9095,73672,Acq Equinus Deformity
9096,73673,Cavus Deformity Of Foot
9097,73674,"Claw Foot, Acquired"
9098,73675,Acq Cavovarus Deformity
9099,73676,Calcaneus Deformity Nec
9100,73679,Acq Ankle-Foot Def Nec
9101,7368,Acq Limb Deformities Nec
9102,73681,Unequal Leg Length
9103,73689,Oth Acq Limb Deformity
9104,7369,Acq Limb Deformity Nos
9105,737,Curvature Of Spine
9106,7370,Adoles Postural Kyphosis
9107,7371,Kyphosis
9108,73710,Kyphosis Nos
9109,73711,Radiation Kyphosis
9110,73712,Postlaminectomy Kyphosis
9111,73719,Kyphosis Nec
9112,7372,Lordosis
9113,73720,Lordosis Nos
9114,73721,Postlaminectomy Lordosis
9115,73722,Oth Postsurgery Lordosis
9116,73729,Lordosis Nec
9117,7373,Scoliosis
9118,73730,Idiopathic Scoliosis
9119,73731,Resolv Idiopath Scolios
9120,73732,Progr Idiopath Scoliosis
9121,73733,Radiation Scoliosis
9122,73734,Thoracogenic Scoliosis
9123,73739,Scoliosis Nec
9124,7374,Spinal Curvat In Oth Dis
9125,73740,Spin Curv Nos In Oth Dis
9126,73741,Kyphosis In Oth Dis
9127,73742,Lordosis In Oth Dis
9128,73743,Scoliosis In Oth Dis
9129,7378,Curvature Of Spine Nec
9130,7379,Curvature Of Spine Nos
9131,738,Other Acquired Deformity
9132,7380,Acq Nose Deformity
9133,7381,Acq Head Deformity Nec
9134,73810,Unspf Acq Deformity Head
9135,73811,Zygomatic Hyperplasia
9136,73812,Zygomatic Hypoplasia
9137,73819,Oth Spcf Deformity Head
9138,7382,Acq Neck Deformity
9139,7383,Acq Chest Deformity
9140,7384,Acq Spondylolisthesis
9141,7385,Other Acq Back Deformity
9142,7386,Acq Pelvic Deformity
9143,7387,Cauliflower Ear
9144,7388,Acq Deformity Nec
9145,7389,Acq Deformity Nos
9146,739,Somatic Dysfunction
9147,7390,Somat Dys Head Region
9148,7391,Somat Dysfunc Cervic Reg
9149,7392,Somat Dysfunc Thorac Reg
9150,7393,Somat Dysfunc Lumbar Reg
9151,7394,Somat Dysfunc Sacral Reg
9152,7395,Somat Dysfunc Pelvic Reg
9153,7396,Somat Dysfunc Lower Extr
9154,7397,Somat Dysfunc Upper Extr
9155,7398,Somat Dysfunc Rib Cage
9156,7399,Somatic Dysfunction Nec
9157,740,Anencephalus/Simil Anom
9158,7400,Anencephalus
9159,7401,Craniorachischisis
9160,7402,Iniencephaly
9161,741,Spina Bifida
9162,7410,Spina Bif W Hydrocephal
9163,74100,Spin Bif W Hydroceph Nos
9164,74101,Spin Bif W Hydrceph-Cerv
9165,74102,Spin Bif W Hydrceph-Dors
9166,74103,Spin Bif W Hydrceph-Lumb
9167,7419,Spina Bifida
9168,74190,Spina Bifida
9169,74191,Spina Bifida-Cerv
9170,74192,Spina Bifida-Dorsal
9171,74193,Spina Bifida-Lumbar
9172,742,Oth Nervous System Anom
9173,7420,Encephalocele
9174,7421,Microcephalus
9175,7422,"Reduction Deform, Brain"
9176,7423,Congenital Hydrocephalus
9177,7424,Brain Anomaly Nec
9178,7425,Spinal Cord Anomaly Nec
9179,74251,Diastematomyelia
9180,74253,Hydromyelia
9181,74259,Spinal Cord Anomaly Nec
9182,7428,Nervous System Anom Nec
9183,7429,Nervous System Anom Nos
9184,743,Congenital Eye Anomaly
9185,7430,Anophthalmos
9186,74300,Clinic Anophthalmos Nos
9187,74303,Congen Cystic Eyeball
9188,74306,Cryptophthalmos
9189,7431,Microphthalmos
9190,74310,Microphthalmos Nos
9191,74311,Simple Microphthalmos
9192,74312,Microphth W Oth Eye Anom
9193,7432,Buphthalmos
9194,74320,Buphthalmos Nos
9195,74321,Simple Buphthalmos
9196,74322,Buphthal W Oth Eye Anom
9197,7433,Cong Cataract/Lens Anom
9198,74330,Congenital Cataract Nos
9199,74331,Capsular Cataract
9200,74332,Cortical/Zonular Catarac
9201,74333,Nuclear Cataract
9202,74334,Cong Tot/Subtot Cataract
9203,74335,Congenital Aphakia
9204,74336,Anomalies Of Lens Shape
9205,74337,Congenital Ectopic Lens
9206,74339,Cong Catar/Lens Anom Nec
9207,7434,Anterior Segmnt Anom Nec
9208,74341,Anom Corneal Size/Shape
9209,74342,Cong Cornea Opac Aff Vis
9210,74343,Cong Corneal Opacit Nec
9211,74344,Anom Anter Chamber-Eye
9212,74345,Aniridia
9213,74346,Anom Iris & Cil Body Nec
9214,74347,Anomalies Of Sclera
9215,74348,Mult Anom Anter Seg-Eye
9216,74349,Anom Anter Seg Nec-Eye
9217,7435,Cong Anom Post Seg-Eye
9218,74351,Vitreous Anomalies
9219,74352,Fundus Coloboma
9220,74353,Cong Chorioretinal Degen
9221,74354,Cong Fold/Cyst Post Eye
9222,74355,Cong Macular Change-Eye
9223,74356,Cong Retinal Changes Nec
9224,74357,Optic Disc Anomalies
9225,74358,Vascular Anom Post Eye
9226,74359,Post Segmnt Anom Nec-Eye
9227,7436,Anom Eyelid/Lacrimal/Orb
9228,74361,Congenital Ptosis
9229,74362,Congenital Eyelid Deform
9230,74363,Spec Anom Of Eyelid Nec
9231,74364,Spec Lacrimal Gland Anom
9232,74365,Spec Lacrimal Pass Anom
9233,74366,Spec Anomaly Of Orbit
9234,74369,Anom Eyelid/Lacr/Orb Nec
9235,7438,Eye Anomalies Nec
9236,7439,Eye Anomaly Nos
9237,744,Cong Anom Ear/Face/Neck
9238,7440,Ear Anom W Impair Hear
9239,74400,Ear Anom Nos/Impair Hear
9240,74401,Cong Absence Ext Ear
9241,74402,Ex Ear Anm Nec-Impr Hear
9242,74403,Middle Ear Anomaly Nec
9243,74404,Anomalies Ear Ossicles
9244,74405,Anomalies Of Inner Ear
9245,74409,Ear Anom Nec/Impair Hear
9246,7441,Accessory Auricle
9247,7442,Ear Anomalies Nec
9248,74421,Cong Absence Of Ear Lobe
9249,74422,Macrotia
9250,74423,Microtia
9251,74424,Eustachian Tube Anom Nec
9252,74429,Ear Anomalies Nec
9253,7443,Ear Anomaly Nos
9254,7444,Branchial Cleft Anom
9255,74441,Branch Cleft Sinus/Fistu
9256,74442,Branchial Cleft Cyst
9257,74443,Cervical Auricle
9258,74446,Preauricular Sinus/Fistu
9259,74447,Preauricular Cyst
9260,74449,Branchial Cleft Anom Nec
9261,7445,Webbing Of Neck
9262,7448,Cong Face/Neck Anom Nec
9263,74481,Macrocheilia
9264,74482,Microcheilia
9265,74483,Macrostomia
9266,74484,Microstomia
9267,74489,Cong Face/Neck Anom Nec
9268,7449,Cong Face/Neck Anom Nos
9269,745,Cardiac Septal Clos Anom
9270,7450,Common Truncus
9271,7451,Transpos Of Great Vessel
9272,74510,Compl Transpos Great Ves
9273,74511,Double Outlet Rt Ventric
9274,74512,Correct Transpos Grt Ves
9275,74519,Transpos Great Vess Nec
9276,7452,Tetralogy Of Fallot
9277,7453,Common Ventricle
9278,7454,Ventricular Sept Defect
9279,7455,Secundum Atrial Sept Def
9280,7456,Endocard Cushion Defects
9281,74560,Endocard Cushion Def Nos
9282,74561,Ostium Primum Defect
9283,74569,Endocard Cushion Def Nec
9284,7457,Cor Biloculare
9285,7458,Septal Closure Anom Nec
9286,7459,Septal Closure Anom Nos
9287,746,Other Congen Heart Anom
9288,7460,Pulmonary Valve Anomaly
9289,74600,Pulmonary Valve Anom Nos
9290,74601,Cong Pulmon Valv Atresia
9291,74602,Cong Pulmon Valve Stenos
9292,74609,Pulmonary Valve Anom Nec
9293,7461,Cong Tricusp Atres/Sten
9294,7462,Ebstein'S Anomaly
9295,7463,Cong Aorta Valv Stenosis
9296,7464,Cong Aorta Valv Insuffic
9297,7465,Congen Mitral Stenosis
9298,7466,Cong Mitral Insufficienc
9299,7467,Hypoplas Left Heart Synd
9300,7468,Cong Heart Anomaly Nec
9301,74681,Cong Subaortic Stenosis
9302,74682,Cor Triatriatum
9303,74683,Infundib Pulmon Stenosis
9304,74684,Obstruct Heart Anom Nec
9305,74685,Coronary Artery Anomaly
9306,74686,Congenital Heart Block
9307,74687,Malposition Of Heart
9308,74689,Cong Heart Anomaly Nec
9309,7469,Cong Heart Anomaly Nos
9310,747,Oth Cong Circ Syst Anom
9311,7470,Patent Ductus Arteriosus
9312,7471,Coarctation Of Aorta
9313,74710,Coarctation Of Aorta
9314,74711,Interrupt Of Aortic Arch
9315,7472,Cong Anom Of Aorta Nec
9316,74720,Cong Anom Of Aorta Nos
9317,74721,Anomalies Of Aortic Arch
9318,74722,Aortic Atresia/Stenosis
9319,74729,Cong Anom Of Aorta Nec
9320,7473,Pulmonary Artery Anom
9321,7474,Anomalies Of Great Veins
9322,74740,Great Vein Anomaly Nos
9323,74741,Tot Anom Pulm Ven Connec
9324,74742,Part Anom Pulm Ven Conn
9325,74749,Great Vein Anomaly Nec
9326,7475,Umbilical Artery Absence
9327,7476,Periph Vascular Anom Nec
9328,74760,Unsp Prpherl Vasc Anomal
9329,74761,Gstrontest Vesl Anomaly
9330,74762,Renal Vessel Anomaly
9331,74763,Upr Limb Vessel Anomaly
9332,74764,Lwr Limb Vessel Anomaly
9333,74769,Oth Spcf Prph Vscl Anoml
9334,7478,Circulatory Anomaly Nec
9335,74781,Cerebrovascular Anomaly
9336,74782,Spinal Vessel Anomaly
9337,74789,Circulatory Anomaly Nec
9338,7479,Circulatory Anomaly Nos
9339,748,Respiratory Syst Anomaly
9340,7480,Choanal Atresia
9341,7481,Nose Anomaly Nec
9342,7482,Laryngeal Web
9343,7483,Laryngotrach Anomaly Nec
9344,7484,Congenital Cystic Lung
9345,7485,Agenesis Of Lung
9346,7486,Other Anomalies Of Lung
9347,74860,Lung Anomaly Nos
9348,74861,Congen Bronchiectasis
9349,74869,Lung Anomaly Nec
9350,7488,Respiratory Anomaly Nec
9351,7489,Respiratory Anomaly Nos
9352,749,Cleft Palate & Cleft Lip
9353,7490,Cleft Palate
9354,74900,Cleft Palate Nos
9355,74901,Unilat Cleft Palate-Comp
9356,74902,Unilat Cleft Palate-Inc
9357,74903,Bilat Cleft Palate-Compl
9358,74904,Bilat Cleft Palate-Inc
9359,7491,Cleft Lip
9360,74910,Cleft Lip Nos
9361,74911,Unilat Cleft Lip-Compl
9362,74912,Unilat Cleft Lip-Imcompl
9363,74913,Bilat Cleft Lip-Complete
9364,74914,Bilat Cleft Lip-Incompl
9365,7492,Cleft Palate W Cleft Lip
9366,74920,Cleft Palate & Lip Nos
9367,74921,Unil Cleft Palat/Lip-Com
9368,74922,Unil Cleft Palat/Lip-Inc
9369,74923,Bilat Clft Palat/Lip-Com
9370,74924,Bilat Clft Palat/Lip-Inc
9371,74925,Cleft Palate & Lip Nec
9372,750,Other Upper Gi Anomaly
9373,7500,Tongue Tie
9374,7501,Tongue Anomaly Nec
9375,75010,Tongue Anomaly Nos
9376,75011,Aglossia
9377,75012,Cong Adhesions Of Tongue
9378,75013,Cong Fissure Of Tongue
9379,75015,Cong Macroglossia
9380,75016,Microglossia
9381,75019,Tongue Anomaly Nec
9382,7502,Mouth & Pharynx Anom Nec
9383,75021,Salivary Gland Absence
9384,75022,Accessory Salivary Gland
9385,75023,"Cong Atresia, Saliv Duct"
9386,75024,Cong Salivary Fistula
9387,75025,Congenital Lip Fistula
9388,75026,Mouth Anomaly Nec
9389,75027,Diverticulum Of Pharynx
9390,75029,Pharyngeal Anomaly Nec
9391,7503,Cong Esoph Fistula/Atres
9392,7504,Esophageal Anomaly Nec
9393,7505,Cong Pyloric Stenosis
9394,7506,Congenital Hiatus Hernia
9395,7507,Gastric Anomaly Nec
9396,7508,Upper Gi Anomaly Nec
9397,7509,Upper Gi Anomaly Nos
9398,751,Oth Anom Digestive Syst
9399,7510,Meckel'S Diverticulum
9400,7511,Atresia Small Intestine
9401,7512,Atresia Large Intestine
9402,7513,Hirschsprung'S Disease
9403,7514,Intestinal Fixation Anom
9404,7515,Intestinal Anomaly Nec
9405,7516,Biliary & Liver Anomaly
9406,75160,Biliary & Liver Anom Nos
9407,75161,Biliary Atresia
9408,75162,Cong Cystic Liver Dis
9409,75169,Biliary & Liver Anom Nec
9410,7517,Pancreas Anomalies
9411,7518,Anom Digestive Syst Nec
9412,7519,Anom Digestive Syst Nos
9413,752,Genital Organ Anomalies
9414,7520,Anomalies Of Ovaries
9415,7521,Tubal/Broad Lig Anom
9416,75210,Tubal/Broad Lig Anom Nos
9417,75211,Embryonic Cyst Of Adnexa
9418,75219,Tubal/Broad Lig Anom Nec
9419,7522,Doubling Of Uterus
9420,7523,Uterine Anomaly Nec
9421,7524,Cervix/Oth Fem Gen Anom
9422,75240,Cervix/Fem Gen Anom Nos
9423,75241,Embryon Cyst Fem Gen Nec
9424,75242,Imperforate Hymen
9425,75249,Cervix/Fem Gen Anom Nec
9426,7525,Undescended Testicle
9427,75251,Undescended Testis
9428,75252,Retractile Testis
9429,7526,Male Hypospadias/Epispad
9430,75261,Hypospadias
9431,75262,Epispadias
9432,75263,Congenital Chordee
9433,75264,Micropenis
9434,75265,Hidden Penis
9435,75269,Penile Anomalies Nec
9436,7527,Indeterminate Sex
9437,7528,Genital Organ Anom Nec
9438,7529,Genital Organ Anom Nos
9439,753,Urinary System Anomalies
9440,7530,Renal Agenesis
9441,7531,Cystic Kidney Disease
9442,75310,Cystic Kidney Diseas Nos
9443,75311,Congenital Renal Cyst
9444,75312,Polycystic Kidney Nos
9445,75313,Polycyst Kid-Autosom Dom
9446,75314,Polycyst Kid-Autosom Rec
9447,75315,Renal Dysplasia
9448,75316,Medullary Cystic Kidney
9449,75317,Medullary Sponge Kidney
9450,75319,Cystic Kidney Diseas Nec
9451,7532,Congen Ureteral Obstruct
9452,75320,Obs Dfct Ren Plv&Urt Nos
9453,75321,Congen Obst Urtroplv Jnc
9454,75322,Cong Obst Ureteroves Jnc
9455,75323,Congenital Ureterocele
9456,75329,Obst Def Ren Plv&Urt Nec
9457,7533,Kidney Anomaly Nec
9458,7534,Ureteral Anomaly Nec
9459,7535,Bladder Exstrophy
9460,7536,Congen Urethral Stenosis
9461,7537,Anomalies Of Urachus
9462,7538,Cystourethral Anom Nec
9463,7539,Urinary Anomaly Nos
9464,754,Cong Musculoskel Deform
9465,7540,Cong Skull/Face/Jaw Def
9466,7541,Congenital Torticollis
9467,7542,Cong Postural Deformity
9468,7543,Congen Hip Dislocation
9469,75430,"Cong Hip Disloc, Unilat"
9470,75431,"Congen Hip Disloc, Bilat"
9471,75432,"Cong Hip Sublux, Unilat"
9472,75433,"Cong Hip Sublux, Bilat"
9473,75435,Cong Hip Disloc W Sublux
9474,7544,Cong Genu Recurvat/Bowng
9475,75440,Cong Genu Recurvatum
9476,75441,Cong Knee Dislocation
9477,75442,Congen Bowing Of Femur
9478,75443,Cong Bowing Tibia/Fibula
9479,75444,Cong Bowing Leg Nos
9480,7545,Cong Varus Def Of Feet
9481,75450,Talipes Varus
9482,75451,Talipes Equinovarus
9483,75452,Metatarsus Primus Varus
9484,75453,Metatarsus Varus
9485,75459,Cong Varus Foot Def Nec
9486,7546,Cong Valgus Def Of Feet
9487,75460,Talipes Valgus
9488,75461,Congenital Pes Planus
9489,75462,Talipes Calcaneovalgus
9490,75469,Cong Valgus Foot Def Nec
9491,7547,Oth Cong Foot Deform
9492,75470,Talipes Nos
9493,75471,Talipes Cavus
9494,75479,Cong Foot Deform Nec
9495,7548,Oth Nonteratogenic Anom
9496,75481,Pectus Excavatum
9497,75482,Pectus Carinatum
9498,75489,Nonteratogenic Anom Nec
9499,755,Oth Congen Limb Anomaly
9500,7550,Polydactyly
9501,75500,Polydactyly Nos
9502,75501,"Polydactyly, Fingers"
9503,75502,"Polydactyly, Toes"
9504,7551,Syndactyly
9505,75510,"Syndactyly, Multiple/Nos"
9506,75511,Syndactyl Fing-No Fusion
9507,75512,Syndactyl Fing W Fusion
9508,75513,Syndactyl Toe-No Fusion
9509,75514,Syndactyl Toe W Fusion
9510,7552,Reduct Deform Upper Limb
9511,75520,Reduc Deform Up Limb Nos
9512,75521,Transverse Defic Arm
9513,75522,Longitud Defic Arm Nec
9514,75523,Combin Longit Defic Arm
9515,75524,Longitudin Defic Humerus
9516,75525,Longitud Defic Radioulna
9517,75526,Longitud Defic Radius
9518,75527,Longitudinal Defic Ulna
9519,75528,Longitudinal Defic Hand
9520,75529,Longitud Defic Phalanges
9521,7553,Reduct Deform Lower Limb
9522,75530,Reduction Deform Leg Nos
9523,75531,Transverse Defic Leg
9524,75532,Longitudin Defic Leg Nec
9525,75533,Comb Longitudin Def Leg
9526,75534,Longitudinal Defic Femur
9527,75535,Tibiofibula Longit Defic
9528,75536,Longitudinal Defic Tibia
9529,75537,Longitudin Defic Fibula
9530,75538,Longitudinal Defic Foot
9531,75539,Longitud Defic Phalanges
9532,7554,Reduct Deform Limb Nos
9533,7555,Oth Upper Limb Anomalies
9534,75550,Upper Limb Anomaly Nos
9535,75551,Cong Deformity-Clavicle
9536,75552,Cong Elevation-Scapula
9537,75553,Radioulnar Synostosis
9538,75554,Madelung'S Deformity
9539,75555,Acrocephalosyndactyly
9540,75556,Accessory Carpal Bones
9541,75557,Macrodactylia (Fingers)
9542,75558,Congenital Cleft Hand
9543,75559,Upper Limb Anomaly Nec
9544,7556,Oth Lower Limb Anomalies
9545,75560,Lower Limb Anomaly Nos
9546,75561,Congenital Coxa Valga
9547,75562,Congenital Coxa Vara
9548,75563,Cong Hip Deformity Nec
9549,75564,Cong Knee Deformity
9550,75565,Macrodactylia Of Toes
9551,75566,Anomalies Of Toes Nec
9552,75567,Anomalies Of Foot Nec
9553,75569,Lower Limb Anomaly Nec
9554,7558,Congen Limb Anomaly Nec
9555,7559,Congen Limb Anomaly Nos
9556,756,Oth Musculoskelet Anomal
9557,7560,Anomal Skull/Face Bones
9558,7561,Anomalies Of Spine
9559,75610,Anomaly Of Spine Nos
9560,75611,Lumbosacr Spondylolysis
9561,75612,Spondylolisthesis
9562,75613,Cong Absence Of Vertebra
9563,75614,Hemivertebra
9564,75615,Congen Fusion Of Spine
9565,75616,Klippel-Feil Syndrome
9566,75617,Spina Bifida Occulta
9567,75619,Anomaly Of Spine Nec
9568,7562,Cervical Rib
9569,7563,Rib & Sternum Anomal Nec
9570,7564,Chondrodystrophy
9571,7565,Osteodystrophies
9572,75650,Osteodystrophy Nos
9573,75651,Osteogenesis Imperfecta
9574,75652,Osteopetrosis
9575,75653,Osteopoikilosis
9576,75654,Polyostotic Fibros Dyspl
9577,75655,Chondroectoderm Dysplas
9578,75656,Mult Epiphyseal Dysplas
9579,75659,Osteodystrophy Nec
9580,7566,Anomalies Of Diaphragm
9581,7567,Abdominal Wall Anomalies
9582,75670,Congn Anoml Abd Wall Nos
9583,75671,Prune Belly Syndrome
9584,75679,Congn Anoml Abd Wall Nec
9585,7568,Soft Tissue Anomaly Nec
9586,75681,Absence Of Muscle/Tendon
9587,75682,Accessory Muscle
9588,75683,Ehlers-Danlos Syndrome
9589,75689,Soft Tissue Anomaly Nec
9590,7569,Musculoskel Anom Nec/Nos
9591,757,Congen Skin Anomalies
9592,7570,Hereditary Edema Of Legs
9593,7571,Ichthyosis Congenita
9594,7572,Dermatoglyphic Anomalies
9595,7573,Other Skin Anomalies
9596,75731,Cong Ectodermal Dysplas
9597,75732,Vascular Hamartomas
9598,75733,Cong Skin Pigment Anomal
9599,75739,Skin Anomaly Nec
9600,7574,Hair Anomalies Nec
9601,7575,Nail Anomalies Nec
9602,7576,Breast Anomalies Nec
9603,7578,Oth Integument Anomalies
9604,7579,Integument Anomaly Nos
9605,758,Chromosomal Anomalies
9606,7580,Down'S Syndrome
9607,7581,Patau'S Syndrome
9608,7582,Edwards' Syndrome
9609,7583,Autosomal Deletion Synd
9610,7584,Balance Autosom Transloc
9611,7585,Autosomal Anomalies Nec
9612,7586,Gonadal Dysgenesis
9613,7587,Klinefelter'S Syndrome
9614,7588,Sex Chromosome Anom Nec
9615,75881,Oth Cond Due To Sex Chrm
9616,75889,Oth Con D/T Chrm Anm Nec
9617,7589,Chromosome Anomaly Nos
9618,759,Congen Anomalies Nec/Nos
9619,7590,Anomalies Of Spleen
9620,7591,Adrenal Gland Anomaly
9621,7592,Endocrine Anomaly Nec
9622,7593,Situs Inversus
9623,7594,Conjoined Twins
9624,7595,Tuberous Sclerosis
9625,7596,Hamartoses Nec
9626,7597,Mult Congen Anomal Nec
9627,7598,Congenital Anomalies Nec
9628,75981,Prader-Willi Syndrome
9629,75982,Marfan Syndrome
9630,75983,Fragile X Syndrome
9631,75989,Specfied Cong Anomal Nec
9632,7599,Congenital Anomaly Nos
9633,760,Matern Cond Aff Fetus/Nb
9634,7600,Matern Hyperten Aff Nb
9635,7601,Matern Urine Dis Aff Nb
9636,7602,Maternal Infec Aff Nb
9637,7603,Matern Cardioresp Aff Nb
9638,7604,Matern Nutrit Dis Aff Nb
9639,7605,Maternal Injury Aff Nb
9640,7606,Surg Op On Mother Aff Nb
9641,7607,Noxious Substance Aff Nb
9642,76070,Noxious Subst Nos Aff Nb
9643,76071,Maternal Alcohol Aff Nb
9644,76072,Maternal Narcotic Aff Nb
9645,76073,Maternal Hallucin Aff Nb
9646,76074,Maternal Anti-Inf Aff Nb
9647,76075,Cocaine - Nxs Infl Fetus
9648,76076,Fts/Nb Afctd Mtrnl Des
9649,76079,Noxious Subst Nec Aff Nb
9650,7608,Maternal Cond Nec Aff Nb
9651,7609,Maternal Cond Nos Aff Nb
9652,761,Maternal Compl Aff Nb
9653,7610,Incompetnt Cervix Aff Nb
9654,7611,Premat Rupt Memb Aff Nb
9655,7612,Oligohydramnios Aff Nb
9656,7613,Polyhydramnios Aff Nb
9657,7614,Ectopic Pregnancy Aff Nb
9658,7615,Mult Pregnancy Aff Nb
9659,7616,Maternal Death Aff Nb
9660,7617,Antepart Malpres Aff Nb
9661,7618,Matern Compl Nec Aff Nb
9662,7619,Matern Compl Nos Aff Nb
9663,762,Compl Placen/Cord Aff Nb
9664,7620,Placenta Previa Aff Nb
9665,7621,Placenta Hem Nec Aff Nb
9666,7622,Abn Plac Nec/Nos Aff Nb
9667,7623,Placent Transfusion Syn
9668,7624,Prolapsed Cord Aff Nb
9669,7625,Oth Umbil Cord Compress
9670,7626,Umbil Cond Nec Aff Nb
9671,7627,Chorioamnionitis Aff Nb
9672,7628,Abn Amnion Nec Aff Nb
9673,7629,Abn Amnion Nos Aff Nb
9674,763,Oth Compl Deliv Aff Nb
9675,7630,Breech Del/Extrac Aff Nb
9676,7631,Malpos/Dispro Nec Aff Nb
9677,7632,Forceps Delivery Aff Nb
9678,7633,Vacuum Extrac Del Aff Nb
9679,7634,Cesarean Delivery Aff Nb
9680,7635,Mat Anesth/Analg Aff Nb
9681,7636,Precipitate Del Aff Nb
9682,7637,Abn Uterine Contr Aff Nb
9683,7638,Compl Deliv Nec Aff Nb
9684,76381,Ab Ftl Hrt Rt/Rh B/F Lab
9685,76382,Ab Ftl Hrt Rt/Rh Dur Lab
9686,76383,Ab Ftl Hrt Rt/Rhy Nos
9687,76389,Compl Del Nec Aff Nb
9688,7639,Compl Deliv Nos Aff Nb
9689,7640,Lt-For-Dates W/O Fet Mal
9690,76400,Light-For-Dates Wtnos
9691,76401,Light-For-Dates <500G
9692,76402,Lt-For-Dates 500-749G
9693,76403,Lt-For-Dates 750-999G
9694,76404,Lt-For-Dates 1000-1249G
9695,76405,Lt-For-Dates 1250-1499G
9696,76406,Lt-For-Dates 1500-1749G
9697,76407,Lt-For-Dates 1750-1999G
9698,76408,Lt-For-Dates 2000-2499G
9699,76409,Lt-For-Dates 2500+G
9700,7641,Lt-For-Dates W Fetal Mal
9701,76410,Lt-For-Date W/Mal Wtnos
9702,76411,Lt-For-Date W/Mal <500G
9703,76412,Lt-Date W/Mal 500-749G
9704,76413,Lt-Date W/Mal 750-999G
9705,76414,Lt-Date W/Mal 1000-1249G
9706,76415,Lt-Date W/Mal 1250-1499G
9707,76416,Lt-Date W/Mal 1500-1749G
9708,76417,Lt-Date W/Mal 1750-1999G
9709,76418,Lt-Date W/Mal 2000-2499G
9710,76419,Lt-For-Date W/Mal 2500+G
9711,7642,Fet Mal W/O Lt-For-Dates
9712,76420,Fetal Malnutrition Wtnos
9713,76421,Fetal Malnutrition <500G
9714,76422,Fetal Malnutr 500-749G
9715,76423,Fetal Mal 750-999G
9716,76424,Fetal Mal 1000-1249G
9717,76425,Fetal Mal 1250-1499G
9718,76426,Fetal Mal 1500-1749G
9719,76427,Fetal Malnutr 1750-1999G
9720,76428,Fetal Malnutr 2000-2499G
9721,76429,Fetal Malnutr 2500+G
9722,7649,Fetal Growth Retard Nos
9723,76490,Fet Growth Retard Wtnos
9724,76491,Fet Growth Retard <500G
9725,76492,Fet Growth Ret 500-749G
9726,76493,Fet Growth Ret 750-999G
9727,76494,Fet Grwth Ret 1000-1249G
9728,76495,Fet Grwth Ret 1250-1499G
9729,76496,Fet Grwth Ret 1500-1749G
9730,76497,Fet Grwth Ret 1750-1999G
9731,76498,Fet Grwth Ret 2000-2499G
9732,76499,Fet Growth Ret 2500+G
9733,7650,Extreme Immaturity
9734,76500,Extreme Immatur Wtnos
9735,76501,Extreme Immatur <500G
9736,76502,Extreme Immatur 500-749G
9737,76503,Extreme Immatur 750-999G
9738,76504,Extreme Immat 1000-1249G
9739,76505,Extreme Immat 1250-1499G
9740,76506,Extreme Immat 1500-1749G
9741,76507,Extreme Immat 1750-1999G
9742,76508,Extreme Immat 2000-2499G
9743,76509,Extreme Immat 2500+G
9744,7651,Other Preterm Infants
9745,76510,Preterm Infant Nec Wtnos
9746,76511,Preterm Nec <500G
9747,76512,Preterm Nec 500-749G
9748,76513,Preterm Nec 750-999G
9749,76514,Preterm Nec 1000-1249G
9750,76515,Preterm Nec 1250-1499G
9751,76516,Preterm Nec 1500-1749G
9752,76517,Preterm Nec 1750-1999G
9753,76518,Preterm Nec 2000-2499G
9754,76519,Preterm Nec 2500+G
9755,766,Long Gestat/High Birthwt
9756,7660,Exceptionally Large Baby
9757,7661,Heavy-For-Date Infan Nec
9758,7662,Post-Term Infant Nos
9759,767,Birth Trauma
9760,7670,Cerebral Hem At Birth
9761,7671,Scalp Injury At Birth
9762,7672,Clavicle Fx At Birth
9763,7673,Bone Injury Nec At Birth
9764,7674,Spinal Cord Inj At Birth
9765,7675,Facial Nerve Inj-Birth
9766,7676,Brach Plexus Inj-Birth
9767,7677,Nerve Inj Nec At Birth
9768,7678,Birth Trauma Nec
9769,7679,Birth Trauma Nos
9770,768,Intrauterine Asphyxia
9771,7680,Fetal Death-Anoxia Nos
9772,7681,Fet Death-Anoxia Dur Lab
9773,7682,Fet Distress Befor Labor
9774,7683,Fetal Distress Dur Labor
9775,7684,Fetal Distress Nos
